,date,mean_sentiment_score
373,2022-02-17,0.437400364
374,2022-02-18,0.488596974
375,2022-02-21,0.267894177
376,2022-02-22,0.066091502
377,2022-02-23,0.78073388
378,2022-02-24,0.047911826
379,2022-02-25,0.565692108
380,2022-02-27,0.615863681
381,2022-02-28,0.737669446
382,2022-03-02,0.481459293
383,2022-03-03,0.503873493
384,2022-03-04,0.166636818
385,2022-03-07,0.204292085
386,2022-03-08,0.330816695
387,2022-03-09,0.771521937
388,2022-03-10,0.833228132
389,2022-03-11,0.761792005
390,2022-03-12,0.999999523
391,2022-03-14,0.79885522
392,2022-03-15,0.484290888
393,2022-03-16,0.750866568
394,2022-03-17,0.85713456
395,2022-03-18,0.043009441
396,2022-03-20,0.999999642
397,2022-03-21,0.73758835
398,2022-03-22,0.789217998
399,2022-03-23,0.564519694
400,2022-03-24,0.434069535
401,2022-03-25,0.677870384
402,2022-03-26,0.001769168
403,2022-03-28,0.589367601
404,2022-03-29,0.507539567
405,2022-03-30,0.666796956
406,2022-03-31,0.783361708
407,2022-04-01,0.751557926
408,2022-04-04,0.716879676
409,2022-04-05,0.817960219
410,2022-04-06,0.191692313
411,2022-04-07,0.670137566
412,2022-04-08,0.546665915
413,2022-04-10,0.001769168
414,2022-04-11,0.295315466
415,2022-04-12,0.516053164
416,2022-04-13,0.623519664
417,2022-04-18,0.168496747
418,2022-04-19,0.400133112
419,2022-04-20,0.516242535
420,2022-04-21,0.596401136
421,2022-04-22,0.462462554
422,2022-04-25,0.566687103
423,2022-04-26,0.666718341
424,2022-04-27,0.275994295
425,2022-04-28,0.565783518
426,2022-04-29,0.616721273
427,2022-05-02,0.280006028
428,2022-05-04,0.398399849
429,2022-05-05,0.633424088
430,2022-05-06,0.3915491
431,2022-05-07,0.500018504
432,2022-05-08,1.0
433,2022-05-09,0.432051262
434,2022-05-10,0.36471103
435,2022-05-11,0.480946657
436,2022-05-12,0.617764381
437,2022-05-13,0.666553264
438,2022-05-16,0.665338096
439,2022-05-17,0.521896504
440,2022-05-18,0.355988041
441,2022-05-19,0.602549151
442,2022-05-20,0.77753446
443,2022-05-22,0.505017665
444,2022-05-23,0.097719844
445,2022-05-24,0.516168514
446,2022-05-25,0.501280381
447,2022-05-26,0.520130243
448,2022-05-27,0.758100207
449,2022-05-29,2.32e-05
450,2022-05-30,0.878148735
451,2022-05-31,0.650886355
452,2022-06-01,0.663010743
453,2022-06-02,0.335788493
454,2022-06-03,0.666561478
455,2022-06-04,1.18e-05
456,2022-06-06,0.573049567
457,2022-06-07,0.741662054
458,2022-06-08,0.748335963
459,2022-06-09,0.60051401
460,2022-06-10,0.604384504
461,2022-06-13,0.456662476
462,2022-06-14,0.057613867
463,2022-06-15,0.29915093
464,2022-06-16,0.635042537
465,2022-06-17,0.297158726
466,2022-06-18,0.529808152
467,2022-06-19,0.352723112
468,2022-06-20,0.18481442
469,2022-06-21,0.750439573
470,2022-06-22,0.241442744
471,2022-06-23,0.658282303
472,2022-06-24,0.747443822
473,2022-06-27,0.743398069
474,2022-06-28,0.3563057
475,2022-06-29,0.004289548
476,2022-06-30,0.47976939
477,2022-07-01,0.449230578
478,2022-07-04,0.336771071
479,2022-07-05,0.440712627
480,2022-07-06,0.569616795
481,2022-07-07,0.500469383
482,2022-07-08,0.499691488
483,2022-07-11,0.661585873
484,2022-07-12,0.428804972
485,2022-07-13,0.481515417
486,2022-07-14,0.579220706
487,2022-07-15,0.338493704
488,2022-07-16,8.58e-08
489,2022-07-18,0.66718077
490,2022-07-19,0.402115208
491,2022-07-20,0.725878574
492,2022-07-21,0.659237938
493,2022-07-22,0.668194428
494,2022-07-23,0.999998689
495,2022-07-24,0.895816267
496,2022-07-25,0.000211032
497,2022-07-26,0.035109141
498,2022-07-27,0.389059095
499,2022-07-28,0.585166301
500,2022-07-29,0.79327686
501,2022-07-31,0.981499255
502,2022-08-01,0.999680936
503,2022-08-02,0.752535758
504,2022-08-03,0.988781691
505,2022-08-04,0.667230292
506,2022-08-05,0.90884732
507,2022-08-06,0.995002329
508,2022-08-07,1.27e-07
509,2022-08-08,0.999995351
510,2022-08-09,0.80007395
511,2022-08-10,0.558521941
512,2022-08-11,0.747832992
513,2022-08-12,0.6584102
514,2022-08-13,0.999995351
515,2022-08-14,0.50000277
516,2022-08-16,0.934641997
517,2022-08-17,0.899913746
518,2022-08-18,0.934737825
519,2022-08-19,0.999900699
520,2022-08-21,0.933339775
521,2022-08-22,0.444521231
522,2022-08-23,0.400488018
523,2022-08-24,0.231345651
524,2022-08-25,0.333855915
525,2022-08-26,0.429607654
526,2022-08-27,0.491047255
527,2022-08-29,0.744544139
528,2022-08-30,0.817837232
529,2022-08-31,0.544195764
530,2022-09-01,0.55019492
531,2022-09-02,0.654317117
532,2022-09-05,0.617047099
533,2022-09-06,0.597137801
534,2022-09-07,0.594250739
535,2022-09-08,0.666594352
536,2022-09-09,0.800156816
537,2022-09-12,0.790148687
538,2022-09-13,0.607922558
539,2022-09-14,0.373840111
540,2022-09-15,0.334837567
541,2022-09-16,0.037217923
542,2022-09-17,0.00140281
543,2022-09-19,0.256619614
544,2022-09-20,0.793924982
545,2022-09-21,0.227248103
546,2022-09-22,0.233856091
547,2022-09-23,0.260539735
548,2022-09-25,0.548482195
549,2022-09-26,0.398946547
550,2022-09-27,0.408512119
551,2022-09-28,0.442351055
552,2022-09-29,0.304697674
553,2022-09-30,0.096610854
554,2022-10-03,0.423702639
555,2022-10-04,0.750158874
556,2022-10-06,0.666860872
557,2022-10-07,0.786575779
558,2022-10-09,0.672582977
559,2022-10-10,0.380382831
560,2022-10-11,0.446801342
561,2022-10-12,0.749072522
562,2022-10-13,0.237175813
563,2022-10-14,0.79997644
564,2022-10-17,0.006955291
565,2022-10-18,0.750244298
566,2022-10-19,0.501011659
567,2022-10-20,0.574837131
568,2022-10-21,0.831927169
569,2022-10-24,0.999718467
570,2022-10-25,0.505268191
571,2022-10-27,0.600583011
572,2022-10-28,0.12818236
573,2022-10-30,0.500623323
574,2022-10-31,0.714681665
575,2022-11-01,0.749983037
576,2022-11-02,0.688423334
577,2022-11-03,0.30189948
578,2022-11-04,0.606783288
579,2022-11-06,0.823276758
